optimization_factor;Median;Batch Size;Waited for Batch;Max Lambda;Min Lambda;OPT Mode
0,05;0,199009;20;95;5418618,862087115;8,0;1
0,05;0,19152550000000002;20;91;4853920,511156242;8,0;1
0,05;0,189973;20;102;4161282,6152507444;8,0;1
0,05;0,188062;20;123;2513490,0227998435;8,0;1
0,05;0,1817475;20;118;3475302,3150059823;8,0;1
