DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.201745;M005;10;0;0;2;2020-07-02 16:57:45.432423;16:57:45.634168;0;0.1;20;5;500;50
0.270165;M026;12;0;0;4;2020-07-02 16:57:45.749518;16:57:46.019683;0;0.1;20;5;500;50
0.134223;M020;11;0;0;3;2020-07-02 16:57:46.334175;16:57:46.468398;0;0.1;20;5;500;50
0.277327;M038;9;0;0;1;2020-07-02 16:57:49.949685;16:57:50.227012;0;0.1;20;5;500;50
0.118102;M058;10;0;0;2;2020-07-02 16:57:51.112390;16:57:51.230492;0;0.1;20;5;500;50
0.283451;M067;10;0;0;2;2020-07-02 16:57:51.799148;16:57:52.082599;0;0.1;20;5;500;50
0.15283;M090;10;0;0;2;2020-07-02 16:57:55.262200;16:57:55.415030;0;0.1;20;5;500;50
0.162264;M067;8;0;0;0;2020-07-02 16:57:56.010945;16:57:56.173209;0;0.1;20;5;500;50
0.155678;M101;10;0;0;2;2020-07-02 16:57:56.905144;16:57:57.060822;0;0.1;20;5;500;50
0.151139;M115;11;0;0;3;2020-07-02 16:57:57.992953;16:57:58.144092;0;0.1;20;5;500;50
0.096364;M103;9;0;0;1;2020-07-02 16:57:58.472222;16:57:58.568586;0;0.1;20;5;500;50
0.28705;M124;11;0;0;3;2020-07-02 16:57:58.545169;16:57:58.832219;0;0.1;20;5;500;50
0.093082;M123;9;0;0;1;2020-07-02 16:58:01.001742;16:58:01.094824;0;0.1;20;5;500;50
0.096581;M207;12;0;0;4;2020-07-02 16:58:02.518005;16:58:02.614586;0;0.1;20;5;500;50
0.3148;M175;11;0;0;3;2020-07-02 16:58:05.083445;16:58:05.398245;0;0.1;20;5;500;50
0.149271;M137;8;0;0;0;2020-07-02 16:58:06.839873;16:58:06.989144;0;0.1;20;5;500;50
0.379614;M138;8;0;0;0;2020-07-02 16:58:06.904828;16:58:07.284442;0;0.1;20;5;500;50
0.243348;M280;12;0;0;4;2020-07-02 16:58:08.933446;16:58:09.176794;0;0.1;20;5;500;50
0.17719;M212;10;0;0;2;2020-07-02 16:58:09.200666;16:58:09.377856;0;0.1;20;5;500;50
0.106966;M286;12;0;0;4;2020-07-02 16:58:09.270890;16:58:09.377856;0;0.1;20;5;500;50
0.218132;M302;12;0;0;4;2020-07-02 16:58:10.590939;16:58:10.809071;0;0.1;20;5;500;50
0.198379;M207;9;0;0;1;2020-07-02 16:58:10.758384;16:58:10.956763;0;0.1;20;5;500;50
0.153526;M226;10;0;0;2;2020-07-02 16:58:11.273644;16:58:11.427170;0;0.1;20;5;500;50
0.134674;M246;10;0;0;2;2020-07-02 16:58:13.113265;16:58:13.247939;0;0.1;20;5;500;50
0.291797;M343;12;0;0;4;2020-07-02 16:58:14.294320;16:58:14.586117;0;0.1;20;5;500;50
0.114975;M245;9;0;0;1;2020-07-02 16:58:14.688074;16:58:14.803049;0;0.1;20;5;500;50
0.255834;M271;11;0;0;3;2020-07-02 16:58:15.203223;16:58:15.459057;0;0.1;20;5;500;50
0.347212;M275;11;0;0;3;2020-07-02 16:58:15.675999;16:58:16.023211;0;0.1;20;5;500;50
0.154563;M277;11;0;0;3;2020-07-02 16:58:15.868648;16:58:16.023211;0;0.1;20;5;500;50
0.227968;M203;8;0;0;0;2020-07-02 16:58:15.949041;16:58:16.177009;0;0.1;20;5;500;50
0.195202;M359;12;0;0;4;2020-07-02 16:58:15.981807;16:58:16.177009;0;0.1;20;5;500;50
0.273432;M363;12;0;0;4;2020-07-02 16:58:16.376126;16:58:16.649558;0;0.1;20;5;500;50
0.226994;M279;10;0;0;2;2020-07-02 16:58:17.026641;16:58:17.253635;0;0.1;20;5;500;50
0.275174;M280;9;0;0;1;2020-07-02 16:58:18.890928;16:58:19.166102;0;0.1;20;5;500;50
0.144054;M290;9;0;0;1;2020-07-02 16:58:19.355668;16:58:19.499722;0;0.1;20;5;500;50
0.212445;M340;11;0;0;3;2020-07-02 16:58:21.363857;16:58:21.576302;0;0.1;20;5;500;50
0.165609;M359;11;0;0;3;2020-07-02 16:58:23.550924;16:58:23.716533;0;0.1;20;5;500;50
0.216815;M449;12;0;0;4;2020-07-02 16:58:23.885335;16:58:24.102150;0;0.1;20;5;500;50
0.172604;M360;10;0;0;2;2020-07-02 16:58:25.535396;16:58:25.708000;0;0.1;20;5;500;50
0.18188;M276;8;0;0;0;2020-07-02 16:58:26.227800;16:58:26.409680;0;0.1;20;5;500;50
0.093672;M383;10;0;0;2;2020-07-02 16:58:27.689032;16:58:27.782704;0;0.1;20;5;500;50
0.300422;M496;12;0;0;4;2020-07-02 16:58:28.407738;16:58:28.708160;0;0.1;20;5;500;50
0.172847;M307;8;0;0;0;2020-07-02 16:58:29.843410;16:58:30.016257;0;0.1;20;5;500;50
0.349417;M413;10;0;0;2;2020-07-02 16:58:31.775680;16:58:32.125097;0;0.1;20;5;500;50
0.360227;M393;9;0;0;1;2020-07-02 16:58:32.384625;16:58:32.744852;0;0.1;20;5;500;50
0.289325;M325;8;0;0;0;2020-07-02 16:58:32.725371;16:58:33.014696;0;0.1;20;5;500;50
0.254734;M413;9;0;0;1;2020-07-02 16:58:34.764131;16:58:35.018865;0;0.1;20;5;500;50
0.289055;M468;11;0;0;3;2020-07-02 16:58:35.029762;16:58:35.318817;0;0.1;20;5;500;50
0.092719;M479;11;0;0;3;2020-07-02 16:58:36.230335;16:58:36.323054;0;0.1;20;5;500;50
0.142164;M438;9;0;0;1;2020-07-02 16:58:37.541224;16:58:37.683388;0;0.1;20;5;500;50
0.160671;M448;9;0;0;1;2020-07-02 16:58:38.659026;16:58:38.819697;0;0.1;20;5;500;50
0.318609;M478;10;0;0;2;2020-07-02 16:58:38.855381;16:58:39.173990;0;0.1;20;5;500;50
0.441609;M408;8;0;0;0;2020-07-02 16:58:43.268611;16:58:43.710220;0;0.1;20;5;500;50
0.072686;M490;9;0;0;1;2020-07-02 16:58:44.326389;16:58:44.399075;0;0.1;20;5;500;50
1.146378;M434;8;0;0;0;2020-07-02 16:58:47.556582;16:58:48.702960;0;0.1;20;5;500;50
0.692008;M449;8;0;0;0;2020-07-02 16:58:49.521060;16:58:50.213068;0;0.1;20;5;500;50
0.147697;M452;8;0;0;0;2020-07-02 16:58:50.065371;16:58:50.213068;0;0.1;20;5;500;50
1.055554;M467;8;0;0;0;2020-07-02 16:58:51.632696;16:58:52.688250;0;0.1;20;5;500;50
0.172707;M010;10;0;0;2;2020-07-02 16:57:45.846976;16:57:46.019683;0;0.1;20;5;500;50
0.137544;M029;10;0;0;2;2020-07-02 16:57:48.108483;16:57:48.246027;0;0.1;20;5;500;50
0.089882;M094;12;0;0;4;2020-07-02 16:57:51.140610;16:57:51.230492;0;0.1;20;5;500;50
0.085698;M033;8;0;0;0;2020-07-02 16:57:51.144794;16:57:51.230492;0;0.1;20;5;500;50
0.173171;M060;10;0;0;2;2020-07-02 16:57:51.220705;16:57:51.393876;0;0.1;20;5;500;50
0.229026;M068;10;0;0;2;2020-07-02 16:57:51.853573;16:57:52.082599;0;0.1;20;5;500;50
0.253967;M053;9;0;0;1;2020-07-02 16:57:52.399955;16:57:52.653922;0;0.1;20;5;500;50
0.294839;M079;11;0;0;3;2020-07-02 16:57:53.281105;16:57:53.575944;0;0.1;20;5;500;50
0.111406;M081;10;0;0;2;2020-07-02 16:57:54.267799;16:57:54.379205;0;0.1;20;5;500;50
0.206367;M144;12;0;0;4;2020-07-02 16:57:56.616325;16:57:56.822692;0;0.1;20;5;500;50
0.190363;M167;12;0;0;4;2020-07-02 16:57:58.842154;16:57:59.032517;0;0.1;20;5;500;50
0.307772;M170;12;0;0;4;2020-07-02 16:57:59.126986;16:57:59.434758;0;0.1;20;5;500;50
0.250309;M142;10;0;0;2;2020-07-02 16:58:00.844515;16:58:01.094824;0;0.1;20;5;500;50
0.384809;M150;10;0;0;2;2020-07-02 16:58:01.998707;16:58:02.383516;0;0.1;20;5;500;50
0.210877;M137;9;0;0;1;2020-07-02 16:58:02.172639;16:58:02.383516;0;0.1;20;5;500;50
0.185697;M215;12;0;0;4;2020-07-02 16:58:03.284820;16:58:03.470517;0;0.1;20;5;500;50
0.186052;M116;8;0;0;0;2020-07-02 16:58:03.579966;16:58:03.766018;0;0.1;20;5;500;50
0.336404;M118;8;0;0;0;2020-07-02 16:58:03.716453;16:58:04.052857;0;0.1;20;5;500;50
