DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.09554;M005;9;0;0;1;2020-09-04 19:04:16.031982;19:04:16.127522;1;0.025;10;2;500;50
0.357472;M011;8;0;0;0;2020-09-04 19:04:18.304975;19:04:18.662447;1;0.025;10;2;500;50
0.277664;M027;9;0;0;1;2020-09-04 19:04:18.698100;19:04:18.975764;1;0.025;10;2;500;50
0.193978;M015;8;0;0;0;2020-09-04 19:04:18.781786;19:04:18.975764;1;0.025;10;2;500;50
0.339767;M032;9;0;0;1;2020-09-04 19:04:19.466655;19:04:19.806422;1;0.025;10;2;500;50
0.242455;M027;8;0;0;0;2020-09-04 19:04:20.019871;19:04:20.262326;1;0.025;10;2;500;50
0.085975;M040;9;0;0;1;2020-09-04 19:04:20.176351;19:04:20.262326;1;0.025;10;2;500;50
0.201665;M045;8;0;0;0;2020-09-04 19:04:22.214793;19:04:22.416458;1;0.025;10;2;500;50
0.290297;M073;9;0;0;1;2020-09-04 19:04:23.700602;19:04:23.990899;1;0.025;10;2;500;50
0.150215;M078;9;0;0;1;2020-09-04 19:04:24.340728;19:04:24.490943;1;0.025;10;2;500;50
0.111537;M111;8;0;0;0;2020-09-04 19:04:31.253075;19:04:31.364612;1;0.025;10;2;500;50
0.109115;M143;9;0;0;1;2020-09-04 19:04:31.772468;19:04:31.881583;1;0.025;10;2;500;50
0.160618;M152;8;0;0;0;2020-09-04 19:04:35.960734;19:04:36.121352;1;0.025;10;2;500;50
0.128985;M207;8;0;0;0;2020-09-04 19:04:42.483523;19:04:42.612508;1;0.025;10;2;500;50
0.149644;M221;8;0;0;0;2020-09-04 19:04:44.709556;19:04:44.859200;1;0.025;10;2;500;50
0.204061;M278;8;0;1;0;2020-09-04 19:04:53.648219;19:04:53.852280;1;0.025;10;2;500;50
0.183025;M284;8;0;1;0;2020-09-04 19:04:54.218319;19:04:54.401344;1;0.025;10;2;500;50
0.224737;M311;8;0;1;0;2020-09-04 19:04:57.584653;19:04:57.809390;1;0.025;10;2;500;50
0.325882;M400;9;0;1;1;2020-09-04 19:05:07.150293;19:05:07.476175;1;0.025;10;2;500;50
0.209517;M409;8;0;1;0;2020-09-04 19:05:09.122258;19:05:09.331775;1;0.025;10;2;500;50
0.166234;M419;8;0;0;0;2020-09-04 19:05:10.676736;19:05:10.842970;1;0.025;10;2;500;50
0.214133;M437;9;0;0;1;2020-09-04 19:05:11.688612;19:05:11.902745;1;0.025;10;2;500;50
0.179652;M435;8;0;0;0;2020-09-04 19:05:12.980238;19:05:13.159890;1;0.025;10;2;500;50
0.165987;M478;9;0;1;1;2020-09-04 19:05:16.752035;19:05:16.918022;1;0.025;10;2;500;50
0.137833;M493;9;0;0;1;2020-09-04 19:05:19.184552;19:05:19.322385;1;0.025;10;2;500;50
