DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.173584;M030;12;0;0;4;2020-09-04 19:17:02.276151;19:17:02.449735;1;0.025;10;5;500;50
0.12961;M010;10;0;0;2;2020-09-04 19:17:02.800429;19:17:02.930039;1;0.025;10;5;500;50
0.163442;M008;9;0;0;1;2020-09-04 19:17:03.283538;19:17:03.446980;1;0.025;10;5;500;50
0.169884;M017;10;0;0;2;2020-09-04 19:17:03.577668;19:17:03.747552;1;0.025;10;5;500;50
0.212033;M048;12;0;0;4;2020-09-04 19:17:03.906444;19:17:04.118477;1;0.025;10;5;500;50
0.132313;M013;9;0;0;1;2020-09-04 19:17:04.204808;19:17:04.337121;1;0.025;10;5;500;50
0.170151;M040;8;0;0;0;2020-09-04 19:17:04.260719;19:17:04.430870;1;0.025;10;5;500;50
0.179807;M067;11;0;1;3;2020-09-04 19:17:07.863057;19:17:08.042864;1;0.025;10;5;500;50
0.180785;M042;9;0;0;1;2020-09-04 19:17:08.188023;19:17:08.368808;1;0.025;10;5;500;50
0.242856;M085;11;0;0;3;2020-09-04 19:17:09.860346;19:17:10.103202;1;0.025;10;5;500;50
0.163828;M108;11;0;0;3;2020-09-04 19:17:12.641510;19:17:12.805338;1;0.025;10;5;500;50
0.157113;M096;8;0;0;0;2020-09-04 19:17:13.042416;19:17:13.199529;1;0.025;10;5;500;50
0.177749;M068;9;0;0;1;2020-09-04 19:17:13.094361;19:17:13.272110;1;0.025;10;5;500;50
0.165591;M151;12;0;0;4;2020-09-04 19:17:14.995883;19:17:15.161474;1;0.025;10;5;500;50
0.250583;M157;12;0;1;4;2020-09-04 19:17:15.389348;19:17:15.639931;1;0.025;10;5;500;50
0.22559;M142;11;0;1;3;2020-09-04 19:17:15.748014;19:17:15.973604;1;0.025;10;5;500;50
0.348355;M093;9;0;1;1;2020-09-04 19:17:16.345233;19:17:16.693588;1;0.025;10;5;500;50
0.345596;M168;12;0;1;4;2020-09-04 19:17:16.423005;19:17:16.768601;1;0.025;10;5;500;50
0.10746;M129;9;0;0;1;2020-09-04 19:17:20.670352;19:17:20.777812;1;0.025;10;5;500;50
0.175622;M134;9;0;0;1;2020-09-04 19:17:21.400485;19:17:21.576107;1;0.025;10;5;500;50
0.154144;M217;11;0;0;3;2020-09-04 19:17:23.169624;19:17:23.323768;1;0.025;10;5;500;50
0.108654;M226;11;0;0;3;2020-09-04 19:17:23.909511;19:17:24.018165;1;0.025;10;5;500;50
0.229847;M240;12;0;0;4;2020-09-04 19:17:24.330509;19:17:24.560356;1;0.025;10;5;500;50
0.188115;M261;12;0;0;4;2020-09-04 19:17:26.197497;19:17:26.385612;1;0.025;10;5;500;50
0.197716;M243;10;0;0;2;2020-09-04 19:17:27.749574;19:17:27.947290;1;0.025;10;5;500;50
0.245624;M280;12;0;1;4;2020-09-04 19:17:28.336796;19:17:28.582420;1;0.025;10;5;500;50
0.18535;M271;11;0;1;3;2020-09-04 19:17:28.790048;19:17:28.975398;1;0.025;10;5;500;50
0.125383;M211;9;0;0;1;2020-09-04 19:17:31.398537;19:17:31.523920;1;0.025;10;5;500;50
0.160137;M242;8;0;0;0;2020-09-04 19:17:34.096989;19:17:34.257126;1;0.025;10;5;500;50
0.107983;M237;9;0;0;1;2020-09-04 19:17:34.531493;19:17:34.639476;1;0.025;10;5;500;50
0.253357;M248;8;0;0;0;2020-09-04 19:17:34.971873;19:17:35.225230;1;0.025;10;5;500;50
0.271781;M249;8;0;1;0;2020-09-04 19:17:35.026519;19:17:35.298300;1;0.025;10;5;500;50
0.257383;M376;12;0;1;4;2020-09-04 19:17:36.746312;19:17:37.003695;1;0.025;10;5;500;50
0.149058;M380;11;0;0;3;2020-09-04 19:17:39.934468;19:17:40.083526;1;0.025;10;5;500;50
0.09799;M386;11;0;0;3;2020-09-04 19:17:40.445444;19:17:40.543434;1;0.025;10;5;500;50
0.155139;M390;11;0;0;3;2020-09-04 19:17:40.701449;19:17:40.856588;1;0.025;10;5;500;50
0.142668;M301;9;0;0;1;2020-09-04 19:17:40.788681;19:17:40.931349;1;0.025;10;5;500;50
0.083747;M429;12;0;0;4;2020-09-04 19:17:42.366304;19:17:42.450051;1;0.025;10;5;500;50
0.222468;M385;10;0;1;2;2020-09-04 19:17:43.756712;19:17:43.979180;1;0.025;10;5;500;50
