optimization_factor;Median;Batch Size;Waited for Batch;Max Lambda;Min Lambda;OPT Mode
0,1;0,20445249999999998;20;300;5587699,763680939;8,0;1
0,1;0,197004;20;283;3772657,706679715;8,0;1
0,1;0,198107;20;278;4739412,795536169;8,0;1
0,1;0,198712;20;278;4215083,624817395;8,0;1
0,1;0,20123649999999998;20;287;4606380,214806873;8,0;1
