DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.276475;M010;12;0;0;4;2020-09-07 21:45:27.992062;21:45:28.268537;3;0.025;5;5;500;50
0.172212;M012;11;0;0;3;2020-09-07 21:45:28.639492;21:45:28.811704;3;0.025;5;5;500;50
0.149231;M015;8;0;0;0;2020-09-07 21:45:29.416134;21:45:29.565365;3;0.025;5;5;500;50
0.150667;M036;12;0;0;4;2020-09-07 21:45:30.567628;21:45:30.718295;3;0.025;5;5;500;50
0.171604;M059;9;0;0;1;2020-09-07 21:45:34.130483;21:45:34.302087;3;0.025;5;5;500;50
0.130571;M074;12;0;0;4;2020-09-07 21:45:34.384562;21:45:34.515133;3;0.025;5;5;500;50
0.215614;M070;8;0;1;0;2020-09-07 21:45:36.690656;21:45:36.906270;3;0.025;5;5;500;50
0.126013;M083;9;0;0;1;2020-09-07 21:45:37.452252;21:45:37.578265;3;0.025;5;5;500;50
0.192765;M106;9;0;0;1;2020-09-07 21:45:39.387649;21:45:39.580414;3;0.025;5;5;500;50
0.17144;M096;11;0;0;3;2020-09-07 21:45:39.408059;21:45:39.579499;3;0.025;5;5;500;50
0.105091;M103;11;0;0;3;2020-09-07 21:45:40.081442;21:45:40.186533;3;0.025;5;5;500;50
0.210746;M116;10;0;0;2;2020-09-07 21:45:40.117917;21:45:40.328663;3;0.025;5;5;500;50
0.144116;M111;9;0;0;1;2020-09-07 21:45:40.260629;21:45:40.404745;3;0.025;5;5;500;50
0.20054;M112;9;0;0;1;2020-09-07 21:45:40.375264;21:45:40.575804;3;0.025;5;5;500;50
0.123685;M124;11;0;0;3;2020-09-07 21:45:41.773305;21:45:41.896990;3;0.025;5;5;500;50
0.138685;M175;12;0;0;4;2020-09-07 21:45:44.035043;21:45:44.173728;3;0.025;5;5;500;50
0.110334;M165;10;0;0;2;2020-09-07 21:45:44.938816;21:45:45.049150;3;0.025;5;5;500;50
0.161511;M123;8;0;0;0;2020-09-07 21:45:45.121567;21:45:45.283078;3;0.025;5;5;500;50
0.149474;M161;9;0;0;1;2020-09-07 21:45:47.023623;21:45:47.173097;3;0.025;5;5;500;50
0.143154;M205;12;0;0;4;2020-09-07 21:45:47.373908;21:45:47.517062;3;0.025;5;5;500;50
0.115571;M211;12;0;0;4;2020-09-07 21:45:48.105383;21:45:48.220954;3;0.025;5;5;500;50
0.249398;M216;12;0;1;4;2020-09-07 21:45:48.300531;21:45:48.549929;3;0.025;5;5;500;50
0.225048;M217;12;0;0;4;2020-09-07 21:45:48.325887;21:45:48.550935;3;0.025;5;5;500;50
0.100615;M225;12;0;0;4;2020-09-07 21:45:49.467755;21:45:49.568370;3;0.025;5;5;500;50
0.15512;M189;9;0;0;1;2020-09-07 21:45:49.800183;21:45:49.955303;3;0.025;5;5;500;50
0.211561;M230;12;0;0;4;2020-09-07 21:45:49.888416;21:45:50.099977;3;0.025;5;5;500;50
0.112106;M207;10;0;0;2;2020-09-07 21:45:49.987871;21:45:50.099977;3;0.025;5;5;500;50
0.142771;M200;11;0;0;3;2020-09-07 21:45:50.534706;21:45:50.677477;3;0.025;5;5;500;50
0.118705;M241;12;0;0;4;2020-09-07 21:45:51.014545;21:45:51.133250;3;0.025;5;5;500;50
