DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
1.059935;M045;12;0;1;4;2020-09-04 15:08:13.040196;15:08:14.100131;1;0.004;5;5;500;50
1.264284;M023;11;0;1;3;2020-09-04 15:08:13.244194;15:08:14.508478;1;0.004;5;5;500;50
1.349065;M047;10;0;1;2;2020-09-04 15:08:13.491285;15:08:14.840350;1;0.004;5;5;500;50
1.427277;M014;8;0;1;0;2020-09-04 15:08:13.596284;15:08:15.023561;1;0.004;5;5;500;50
1.870317;M026;9;0;1;1;2020-09-04 15:08:15.471642;15:08:17.341959;1;0.004;5;5;500;50
2.183425;M073;12;0;1;4;2020-09-04 15:08:16.327116;15:08:18.510541;1;0.004;5;5;500;50
2.331462;M040;8;0;1;0;2020-09-04 15:08:16.668181;15:08:18.999643;1;0.004;5;5;500;50
3.360255;M091;12;0;1;4;2020-09-04 15:08:18.609640;15:08:21.969895;1;0.004;5;5;500;50
3.542692;M095;10;0;1;2;2020-09-04 15:08:19.228711;15:08:22.771403;1;0.004;5;5;500;50
3.448502;M062;8;0;1;0;2020-09-04 15:08:19.635352;15:08:23.083854;1;0.004;5;5;500;50
4.177437;M072;9;0;1;1;2020-09-04 15:08:20.902910;15:08:25.080347;1;0.004;5;5;500;50
4.914483;M082;9;0;1;1;2020-09-04 15:08:22.321677;15:08:27.236160;1;0.004;5;5;500;50
5.197095;M125;10;0;1;2;2020-09-04 15:08:22.960207;15:08:28.157302;1;0.004;5;5;500;50
6.435831;M143;11;0;1;3;2020-09-04 15:08:26.065343;15:08:32.501174;1;0.004;5;5;500;50
6.577928;M147;11;0;1;3;2020-09-04 15:08:26.394000;15:08:32.971928;1;0.004;5;5;500;50
6.655551;M124;8;0;1;0;2020-09-04 15:08:26.392166;15:08:33.047717;1;0.004;5;5;500;50
7.172036;M183;12;0;1;4;2020-09-04 15:08:27.332329;15:08:34.504365;1;0.004;5;5;500;50
7.373875;M159;11;0;1;3;2020-09-04 15:08:27.834034;15:08:35.207909;1;0.004;5;5;500;50
7.453839;M161;11;0;1;3;2020-09-04 15:08:28.070339;15:08:35.524178;1;0.004;5;5;500;50
7.608004;M159;10;0;1;2;2020-09-04 15:08:28.774913;15:08:36.382917;1;0.004;5;5;500;50
7.892753;M201;12;0;1;4;2020-09-04 15:08:29.120137;15:08:37.012890;1;0.004;5;5;500;50
8.325052;M153;8;0;1;0;2020-09-04 15:08:30.037925;15:08:38.362977;1;0.004;5;5;500;50
8.674511;M147;9;0;1;1;2020-09-04 15:08:30.913351;15:08:39.587862;1;0.004;5;5;500;50
8.924742;M191;10;0;1;2;2020-09-04 15:08:31.629257;15:08:40.553999;1;0.004;5;5;500;50
9.241297;M200;10;0;1;2;2020-09-04 15:08:32.686943;15:08:41.928240;1;0.004;5;5;500;50
10.121395;M194;8;0;1;0;2020-09-04 15:08:34.350787;15:08:44.472182;1;0.004;5;5;500;50
10.604104;M264;12;0;1;4;2020-09-04 15:08:34.787605;15:08:45.391709;1;0.004;5;5;500;50
10.785223;M220;11;0;1;3;2020-09-04 15:08:35.624373;15:08:46.409596;1;0.004;5;5;500;50
11.103316;M213;8;0;1;0;2020-09-04 15:08:36.119379;15:08:47.222695;1;0.004;5;5;500;50
11.186666;M281;12;0;1;4;2020-09-04 15:08:36.337941;15:08:47.524607;1;0.004;5;5;500;50
11.867156;M225;8;0;1;0;2020-09-04 15:08:37.472211;15:08:49.339367;1;0.004;5;5;500;50
11.908905;M258;10;0;1;2;2020-09-04 15:08:37.763097;15:08:49.672002;1;0.004;5;5;500;50
11.958207;M211;9;0;1;1;2020-09-04 15:08:37.879658;15:08:49.837865;1;0.004;5;5;500;50
12.559647;M246;8;0;1;0;2020-09-04 15:08:39.899688;15:08:52.459335;1;0.004;5;5;500;50
12.918338;M252;8;0;1;0;2020-09-04 15:08:40.742434;15:08:53.660772;1;0.004;5;5;500;50
13.568101;M258;8;0;1;0;2020-09-04 15:08:41.504133;15:08:55.072234;1;0.004;5;5;500;50
13.976246;M295;10;0;1;2;2020-09-04 15:08:42.534500;15:08:56.510746;1;0.004;5;5;500;50
14.11287;M301;11;0;1;3;2020-09-04 15:08:43.111908;15:08:57.224778;1;0.004;5;5;500;50
14.157519;M251;9;0;1;1;2020-09-04 15:08:43.161862;15:08:57.319381;1;0.004;5;5;500;50
14.885915;M316;11;0;1;3;2020-09-04 15:08:44.860817;15:08:59.746732;1;0.004;5;5;500;50
15.231127;M326;11;0;1;3;2020-09-04 15:08:45.530574;15:09:00.761701;1;0.004;5;5;500;50
15.687799;M332;10;0;1;2;2020-09-04 15:08:46.510543;15:09:02.198342;1;0.004;5;5;500;50
15.994662;M338;10;0;1;2;2020-09-04 15:08:46.785955;15:09:02.780617;1;0.004;5;5;500;50
16.156822;M374;12;0;1;4;2020-09-04 15:08:47.310626;15:09:03.467448;1;0.004;5;5;500;50
16.318357;M283;9;0;1;1;2020-09-04 15:08:47.477493;15:09:03.795850;1;0.004;5;5;500;50
16.453802;M299;8;0;1;0;2020-09-04 15:08:47.830511;15:09:04.284313;1;0.004;5;5;500;50
18.153916;M412;12;0;1;4;2020-09-04 15:08:50.636757;15:09:08.790673;1;0.004;5;5;500;50
18.533041;M325;8;0;1;0;2020-09-04 15:08:51.226777;15:09:09.759818;1;0.004;5;5;500;50
18.724136;M379;10;0;1;2;2020-09-04 15:08:51.547597;15:09:10.271733;1;0.004;5;5;500;50
18.802626;M394;11;0;1;3;2020-09-04 15:08:51.814741;15:09:10.617367;1;0.004;5;5;500;50
20.448256;M459;12;0;1;4;2020-09-04 15:08:55.226956;15:09:15.675212;1;0.004;5;5;500;50
20.795946;M357;9;0;1;1;2020-09-04 15:08:55.927836;15:09:16.723782;1;0.004;5;5;500;50
22.338144;M389;8;0;1;0;2020-09-04 15:08:59.027459;15:09:21.365603;1;0.004;5;5;500;50
23.433769;M468;10;0;1;2;2020-09-04 15:09:01.977692;15:09:25.411461;1;0.004;5;5;500;50
23.475793;M482;11;0;1;3;2020-09-04 15:09:02.560823;15:09:26.036616;1;0.004;5;5;500;50
23.478046;M483;11;0;1;3;2020-09-04 15:09:02.622504;15:09:26.100550;1;0.004;5;5;500;50
24.176461;M498;11;0;1;3;2020-09-04 15:09:04.293166;15:09:28.469627;1;0.004;5;5;500;50
24.636408;M417;8;0;1;0;2020-09-04 15:09:05.644564;15:09:30.280972;1;0.004;5;5;500;50
27.303526;M463;9;0;1;1;2020-09-04 15:09:10.175934;15:09:37.479460;1;0.004;5;5;500;50
27.785288;M451;8;0;1;0;2020-09-04 15:09:10.622659;15:09:38.407947;1;0.004;5;5;500;50
0.142122;M006;12;0;0;4;2020-09-04 15:08:09.773038;15:08:09.915160;1;0.004;5;5;500;50
0.54403;M033;12;0;1;4;2020-09-04 15:08:12.026960;15:08:12.570990;1;0.004;5;5;500;50
1.696489;M043;11;0;1;3;2020-09-04 15:08:15.126443;15:08:16.822932;1;0.004;5;5;500;50
2.10513;M068;12;0;1;4;2020-09-04 15:08:15.903958;15:08:18.009088;1;0.004;5;5;500;50
2.165025;M072;12;0;1;4;2020-09-04 15:08:16.258743;15:08:18.423768;1;0.004;5;5;500;50
4.523798;M101;11;0;1;3;2020-09-04 15:08:21.786287;15:08:26.310085;1;0.004;5;5;500;50
5.421427;M129;10;0;1;2;2020-09-04 15:08:23.529834;15:08:28.951261;1;0.004;5;5;500;50
5.977241;M106;9;0;1;1;2020-09-04 15:08:25.047058;15:08:31.024299;1;0.004;5;5;500;50
6.085842;M113;8;0;1;0;2020-09-04 15:08:25.302629;15:08:31.388471;1;0.004;5;5;500;50
6.064351;M135;11;0;1;3;2020-09-04 15:08:25.403055;15:08:31.467406;1;0.004;5;5;500;50
6.875443;M129;8;0;1;0;2020-09-04 15:08:26.957172;15:08:33.832615;1;0.004;5;5;500;50
6.991989;M179;12;0;1;4;2020-09-04 15:08:27.095345;15:08:34.087334;1;0.004;5;5;500;50
7.68871;M160;10;0;1;2;2020-09-04 15:08:28.931579;15:08:36.620289;1;0.004;5;5;500;50
7.821319;M168;11;0;1;3;2020-09-04 15:08:29.193567;15:08:37.014886;1;0.004;5;5;500;50
8.057309;M140;9;0;1;1;2020-09-04 15:08:29.588465;15:08:37.645774;1;0.004;5;5;500;50
8.208519;M171;10;0;1;2;2020-09-04 15:08:29.843993;15:08:38.052512;1;0.004;5;5;500;50
8.655824;M157;8;0;1;0;2020-09-04 15:08:30.619597;15:08:39.275421;1;0.004;5;5;500;50
8.717361;M185;10;0;1;2;2020-09-04 15:08:31.026513;15:08:39.743874;1;0.004;5;5;500;50
9.86425;M171;9;0;1;1;2020-09-04 15:08:33.680711;15:08:43.544961;1;0.004;5;5;500;50
9.898692;M208;11;0;1;3;2020-09-04 15:08:33.986649;15:08:43.885341;1;0.004;5;5;500;50
10.145343;M191;8;0;1;0;2020-09-04 15:08:34.088081;15:08:44.233424;1;0.004;5;5;500;50
10.140369;M193;8;0;1;0;2020-09-04 15:08:34.331813;15:08:44.472182;1;0.004;5;5;500;50
10.145119;M254;12;0;1;4;2020-09-04 15:08:34.401752;15:08:44.546871;1;0.004;5;5;500;50
10.200218;M219;10;0;1;2;2020-09-04 15:08:34.471160;15:08:44.671378;1;0.004;5;5;500;50
10.37165;M200;8;0;1;0;2020-09-04 15:08:34.630893;15:08:45.002543;1;0.004;5;5;500;50
12.623864;M308;12;0;1;4;2020-09-04 15:08:39.948914;15:08:52.572778;1;0.004;5;5;500;50
12.679014;M265;11;0;1;3;2020-09-04 15:08:39.971282;15:08:52.650296;1;0.004;5;5;500;50
12.934695;M230;9;0;1;1;2020-09-04 15:08:40.727074;15:08:53.661769;1;0.004;5;5;500;50
13.409011;M285;10;0;1;2;2020-09-04 15:08:41.295572;15:08:54.704583;1;0.004;5;5;500;50
13.773773;M243;9;0;1;1;2020-09-04 15:08:42.142134;15:08:55.915907;1;0.004;5;5;500;50
14.120097;M265;8;0;1;0;2020-09-04 15:08:43.357043;15:08:57.477140;1;0.004;5;5;500;50
14.368868;M257;9;0;1;1;2020-09-04 15:08:43.985068;15:08:58.353936;1;0.004;5;5;500;50
14.916088;M317;11;0;1;3;2020-09-04 15:08:45.000128;15:08:59.916216;1;0.004;5;5;500;50
15.234636;M328;11;0;1;3;2020-09-04 15:08:45.615670;15:09:00.850306;1;0.004;5;5;500;50
16.952377;M358;11;0;1;3;2020-09-04 15:08:48.958951;15:09:05.911328;1;0.004;5;5;500;50
17.13057;M400;12;0;1;4;2020-09-04 15:08:49.220108;15:09:06.350678;1;0.004;5;5;500;50
17.697716;M403;12;0;1;4;2020-09-04 15:08:49.978268;15:09:07.675984;1;0.004;5;5;500;50
17.752542;M406;12;0;1;4;2020-09-04 15:08:50.128314;15:09:07.880856;1;0.004;5;5;500;50
17.904383;M378;11;0;1;3;2020-09-04 15:08:50.387329;15:09:08.291712;1;0.004;5;5;500;50
18.420424;M386;11;0;1;3;2020-09-04 15:08:51.072341;15:09:09.492765;1;0.004;5;5;500;50
19.130397;M335;8;0;1;0;2020-09-04 15:08:52.472846;15:09:11.603243;1;0.004;5;5;500;50
19.161381;M435;12;0;1;4;2020-09-04 15:08:52.800278;15:09:11.961659;1;0.004;5;5;500;50
21.302398;M419;10;0;1;2;2020-09-04 15:08:56.928680;15:09:18.231078;1;0.004;5;5;500;50
21.278435;M476;12;0;1;4;2020-09-04 15:08:57.048086;15:09:18.326521;1;0.004;5;5;500;50
22.402038;M382;9;0;1;1;2020-09-04 15:08:59.414710;15:09:21.816748;1;0.004;5;5;500;50
22.997925;M402;9;0;1;1;2020-09-04 15:09:01.408314;15:09:24.406239;1;0.004;5;5;500;50
23.47431;M404;8;0;1;0;2020-09-04 15:09:02.626240;15:09:26.100550;1;0.004;5;5;500;50
23.684527;M476;10;0;1;2;2020-09-04 15:09:02.857242;15:09:26.541769;1;0.004;5;5;500;50
25.305319;M435;9;0;1;1;2020-09-04 15:09:06.242724;15:09:31.548043;1;0.004;5;5;500;50
0.522555;M027;10;0;1;2;2020-09-04 15:08:11.892101;15:08:12.414656;1;0.004;5;5;500;50
0.886243;M013;9;0;1;1;2020-09-04 15:08:12.686291;15:08:13.572534;1;0.004;5;5;500;50
1.308368;M027;11;0;1;3;2020-09-04 15:08:13.450472;15:08:14.758840;1;0.004;5;5;500;50
1.675899;M054;12;0;1;4;2020-09-04 15:08:14.488046;15:08:16.163945;1;0.004;5;5;500;50
1.862778;M024;9;0;1;1;2020-09-04 15:08:15.418077;15:08:17.280855;1;0.004;5;5;500;50
2.158302;M050;11;0;1;3;2020-09-04 15:08:16.006686;15:08:18.164988;1;0.004;5;5;500;50
2.887249;M077;10;0;1;2;2020-09-04 15:08:17.618152;15:08:20.505401;1;0.004;5;5;500;50
3.281281;M074;11;0;1;3;2020-09-04 15:08:18.451262;15:08:21.732543;1;0.004;5;5;500;50
3.717714;M067;8;0;1;0;2020-09-04 15:08:20.295042;15:08:24.012756;1;0.004;5;5;500;50
3.762204;M091;11;0;1;3;2020-09-04 15:08:20.348469;15:08:24.110673;1;0.004;5;5;500;50
5.602169;M102;8;0;1;0;2020-09-04 15:08:24.018117;15:08:29.620286;1;0.004;5;5;500;50
6.418953;M122;8;0;1;0;2020-09-04 15:08:26.083219;15:08:32.502172;1;0.004;5;5;500;50
7.667355;M143;8;0;1;0;2020-09-04 15:08:28.872146;15:08:36.539501;1;0.004;5;5;500;50
7.890211;M171;11;0;1;3;2020-09-04 15:08:29.522121;15:08:37.412332;1;0.004;5;5;500;50
8.540319;M217;12;0;1;4;2020-09-04 15:08:30.417489;15:08:38.957808;1;0.004;5;5;500;50
8.984187;M188;11;0;1;3;2020-09-04 15:08:32.055312;15:08:41.039499;1;0.004;5;5;500;50
9.201252;M201;10;0;1;2;2020-09-04 15:08:32.726988;15:08:41.928240;1;0.004;5;5;500;50
9.3136;M241;12;0;1;4;2020-09-04 15:08:32.802025;15:08:42.115625;1;0.004;5;5;500;50
9.870323;M211;10;0;1;2;2020-09-04 15:08:33.767469;15:08:43.637792;1;0.004;5;5;500;50
10.713919;M216;11;0;1;3;2020-09-04 15:08:35.056924;15:08:45.770843;1;0.004;5;5;500;50
10.91063;M189;9;0;1;1;2020-09-04 15:08:35.889278;15:08:46.799908;1;0.004;5;5;500;50
11.438724;M285;12;0;1;4;2020-09-04 15:08:36.743831;15:08:48.182555;1;0.004;5;5;500;50
13.965904;M297;10;0;1;2;2020-09-04 15:08:42.636180;15:08:56.602084;1;0.004;5;5;500;50
14.063452;M250;9;0;1;1;2020-09-04 15:08:43.021316;15:08:57.084768;1;0.004;5;5;500;50
15.182823;M267;9;0;1;1;2020-09-04 15:08:45.499146;15:09:00.681969;1;0.004;5;5;500;50
15.788703;M368;12;0;1;4;2020-09-04 15:08:46.503906;15:09:02.292609;1;0.004;5;5;500;50
16.568605;M389;12;0;1;4;2020-09-04 15:08:48.388917;15:09:04.957522;1;0.004;5;5;500;50
16.979542;M305;8;0;1;0;2020-09-04 15:08:49.024405;15:09:06.003947;1;0.004;5;5;500;50
17.297981;M299;9;0;1;1;2020-09-04 15:08:49.597951;15:09:06.895932;1;0.004;5;5;500;50
17.449075;M370;11;0;1;3;2020-09-04 15:08:49.652077;15:09:07.101152;1;0.004;5;5;500;50
17.450639;M302;9;0;1;1;2020-09-04 15:08:49.725314;15:09:07.175953;1;0.004;5;5;500;50
