DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.532297;M001;8;0;0;1;2020-09-03 20:31:09.318786;20:31:09.851083;1;0.002;10;2;500;50
0.193553;M026;8;0;0;1;2020-09-03 20:31:13.098579;20:31:13.292132;1;0.002;10;2;500;50
0.218842;M037;8;0;0;1;2020-09-03 20:31:14.193221;20:31:14.412063;1;0.002;10;2;500;50
0.088857;M060;8;0;0;0;2020-09-03 20:31:20.637391;20:31:20.726248;1;0.002;10;2;500;50
0.103506;M107;8;0;0;1;2020-09-03 20:31:25.368408;20:31:25.471914;1;0.002;10;2;500;50
0.212743;M152;8;0;0;1;2020-09-03 20:31:32.896458;20:31:33.109201;1;0.002;10;2;500;50
0.400841;M188;8;0;0;1;2020-09-03 20:31:38.274204;20:31:38.675045;1;0.002;10;2;500;50
0.105044;M238;8;0;0;1;2020-09-03 20:31:43.669979;20:31:43.775023;1;0.002;10;2;500;50
0.320717;M245;8;0;0;0;2020-09-03 20:31:45.437855;20:31:45.758572;1;0.002;10;2;500;50
0.277241;M262;8;0;0;0;2020-09-03 20:31:47.555750;20:31:47.832991;1;0.002;10;2;500;50
0.282686;M300;8;0;0;1;2020-09-03 20:31:51.706906;20:31:51.989592;1;0.002;10;2;500;50
0.181049;M343;8;0;0;1;2020-09-03 20:31:58.256558;20:31:58.437607;1;0.002;10;2;500;50
0.329974;M348;8;0;0;1;2020-09-03 20:31:59.355843;20:31:59.685817;1;0.002;10;2;500;50
0.351724;M449;8;0;0;0;2020-09-03 20:32:14.628249;20:32:14.979973;1;0.002;10;2;500;50
0.252286;M467;8;0;0;0;2020-09-03 20:32:17.789487;20:32:18.041773;1;0.002;10;2;500;50
0.224563;M013;8;0;0;1;2020-09-03 20:31:11.341237;20:31:11.565800;1;0.002;10;2;500;50
0.314521;M019;8;0;0;1;2020-09-03 20:31:12.082405;20:31:12.396926;1;0.002;10;2;500;50
0.171182;M034;8;0;0;1;2020-09-03 20:31:13.996236;20:31:14.167418;1;0.002;10;2;500;50
0.450106;M064;8;0;0;1;2020-09-03 20:31:19.214413;20:31:19.664519;1;0.002;10;2;500;50
0.455188;M069;8;0;0;1;2020-09-03 20:31:19.643993;20:31:20.099181;1;0.002;10;2;500;50
0.436105;M094;8;0;0;1;2020-09-03 20:31:24.002251;20:31:24.438356;1;0.002;10;2;500;50
0.245925;M114;8;0;0;1;2020-09-03 20:31:26.080019;20:31:26.325944;1;0.002;10;2;500;50
0.208924;M145;8;0;0;1;2020-09-03 20:31:31.780871;20:31:31.989795;1;0.002;10;2;500;50
0.144477;M225;8;0;0;0;2020-09-03 20:31:43.195714;20:31:43.340191;1;0.002;10;2;500;50
0.099642;M232;8;0;0;1;2020-09-03 20:31:43.239517;20:31:43.339159;1;0.002;10;2;500;50
0.090735;M231;8;0;0;0;2020-09-03 20:31:43.902166;20:31:43.992901;1;0.002;10;2;500;50
0.296999;M273;8;0;0;0;2020-09-03 20:31:49.817768;20:31:50.114767;1;0.002;10;2;500;50
0.106885;M335;8;0;0;1;2020-09-03 20:31:57.176087;20:31:57.282972;1;0.002;10;2;500;50
0.470147;M372;8;0;0;1;2020-09-03 20:32:02.395125;20:32:02.865272;1;0.002;10;2;500;50
0.184131;M396;8;0;0;1;2020-09-03 20:32:05.878496;20:32:06.062627;1;0.002;10;2;500;50
0.161101;M420;8;0;0;1;2020-09-03 20:32:09.526751;20:32:09.687852;1;0.002;10;2;500;50
0.281013;M469;8;0;0;0;2020-09-03 20:32:18.137615;20:32:18.418628;1;0.002;10;2;500;50
0.230118;M020;8;0;0;1;2020-09-03 20:31:12.166808;20:31:12.396926;1;0.002;10;2;500;50
0.096942;M029;8;0;0;1;2020-09-03 20:31:13.460611;20:31:13.557553;1;0.002;10;2;500;50
0.107974;M124;8;0;0;0;2020-09-03 20:31:28.831258;20:31:28.939232;1;0.002;10;2;500;50
