optimization_factor;Median;Batch Size;Waited for Batch;Max Lambda;Min Lambda;OPT Mode
0,05;0,1738365;10;240;27266,172651764813;8,0;1
0,05;0,18327;10;319;2121,6277023649886;8,0;1
0,05;0,181974;10;327;3628,7033626247267;8,0;1
0,05;0,170551;10;304;3660,404698270401;8,0;1
0,05;0,168699;10;329;1468,9640691545217;8,0;1
