DURATION;ID;LAMBDA;DUMMY;WAITED_FOR_BATCH;SENDER_ID;POST_TIME;ARRIVAL_TIME;OPT_MODE;OPT_FACTOR;BATCH_SIZE;NUMBER_SENDERS;NUMBER_MESSAGES;WARM UP SCOPE
0.140677;M025;16;0;0;4;2020-09-04 15:45:45.187455;15:45:45.328132;1;0.004;5;5;500;50
0.128198;M007;8;0;0;3;2020-09-04 15:45:49.372711;15:45:49.500909;1;0.004;5;5;500;50
0.09702;M087;16;0;0;4;2020-09-04 15:45:49.981303;15:45:50.078323;1;0.004;5;5;500;50
0.103286;M124;16;0;0;4;2020-09-04 15:45:52.954472;15:45:53.057758;1;0.004;5;5;500;50
0.175545;M173;16;0;1;4;2020-09-04 15:45:56.075073;15:45:56.250618;1;0.004;5;5;500;50
0.152642;M179;16;0;0;4;2020-09-04 15:45:56.776574;15:45:56.929216;1;0.004;5;5;500;50
0.150867;M085;8;0;0;3;2020-09-04 15:45:59.160432;15:45:59.311299;1;0.004;5;5;500;50
0.229783;M227;16;0;1;4;2020-09-04 15:45:59.879572;15:46:00.109355;1;0.004;5;5;500;50
0.345029;M266;16;0;1;4;2020-09-04 15:46:02.642268;15:46:02.987297;1;0.004;5;5;500;50
0.221931;M276;16;0;0;4;2020-09-04 15:46:03.441258;15:46:03.663189;1;0.004;5;5;500;50
0.325499;M358;16;0;1;4;2020-09-04 15:46:09.488521;15:46:09.814020;1;0.004;5;5;500;50
0.306671;M007;2;0;1;1;2020-09-04 15:46:10.339887;15:46:10.646558;1;0.004;5;5;500;50
0.257038;M380;16;0;1;4;2020-09-04 15:46:10.988980;15:46:11.246018;1;0.004;5;5;500;50
0.412258;M073;4;0;1;2;2020-09-04 15:46:12.649828;15:46:13.062086;1;0.004;5;5;500;50
0.43679;M074;4;0;1;2;2020-09-04 15:46:12.703481;15:46:13.140271;1;0.004;5;5;500;50
0.198645;M424;16;0;1;4;2020-09-04 15:46:14.942914;15:46:15.141559;1;0.004;5;5;500;50
0.126113;M217;8;0;0;3;2020-09-04 15:46:15.751271;15:46:15.877384;1;0.004;5;5;500;50
0.176952;M026;2;0;0;1;2020-09-04 15:46:16.954242;15:46:17.131194;1;0.004;5;5;500;50
0.091125;M129;4;0;0;2;2020-09-04 15:46:26.060988;15:46:26.152113;1;0.004;5;5;500;50
0.246274;M359;8;0;0;3;2020-09-04 15:46:33.900029;15:46:34.146303;1;0.004;5;5;500;50
0.298078;M392;8;0;0;3;2020-09-04 15:46:37.929874;15:46:38.227952;1;0.004;5;5;500;50
0.116805;M190;4;0;0;2;2020-09-04 15:46:41.547810;15:46:41.664615;1;0.004;5;5;500;50
0.263653;M209;4;0;0;2;2020-09-04 15:46:47.353422;15:46:47.617075;1;0.004;5;5;500;50
0.240344;M229;4;0;0;2;2020-09-04 15:46:52.219232;15:46:52.459576;1;0.004;5;5;500;50
0.084243;M249;4;0;0;2;2020-09-04 15:46:57.675306;15:46:57.759549;1;0.004;5;5;500;50
0.379465;M044;1;0;0;0;2020-09-04 15:47:11.943208;15:47:12.322673;1;0.004;5;5;500;50
0.128783;M143;2;0;0;1;2020-09-04 15:47:16.335681;15:47:16.464464;1;0.004;5;5;500;50
0.269795;M337;4;0;0;2;2020-09-04 15:47:22.465885;15:47:22.735680;1;0.004;5;5;500;50
0.255089;M341;4;0;0;2;2020-09-04 15:47:23.073363;15:47:23.328452;1;0.004;5;5;500;50
0.121667;M066;1;0;0;0;2020-09-04 15:47:41.166763;15:47:41.288430;1;0.004;5;5;500;50
0.175876;M457;4;0;0;2;2020-09-04 15:47:49.020167;15:47:49.196043;1;0.004;5;5;500;50
0.156268;M490;4;0;0;2;2020-09-04 15:47:55.683010;15:47:55.839278;1;0.004;5;5;500;50
0.082145;M240;2;0;0;1;2020-09-04 15:48:06.572710;15:48:06.654855;1;0.004;5;5;500;50
0.728191;M098;1;0;0;0;2020-09-04 15:48:16.003402;15:48:16.731593;1;0.004;5;5;500;50
0.630959;M121;1;0;0;0;2020-09-04 15:48:41.507841;15:48:42.138800;1;0.004;5;5;500;50
0.334381;M304;2;0;0;1;2020-09-04 15:48:44.113006;15:48:44.447387;1;0.004;5;5;500;50
0.122773;M349;2;0;0;1;2020-09-04 15:49:10.057167;15:49:10.179940;1;0.004;5;5;500;50
0.083017;M380;2;0;0;1;2020-09-04 15:49:28.209846;15:49:28.292863;1;0.004;5;5;500;50
0.612331;M439;2;0;0;1;2020-09-04 15:49:49.440335;15:49:50.052666;1;0.004;5;5;500;50
0.129748;M454;2;0;0;1;2020-09-04 15:50:02.047207;15:50:02.176955;1;0.004;5;5;500;50
0.092101;M457;2;0;0;1;2020-09-04 15:50:04.289657;15:50:04.381758;1;0.004;5;5;500;50
1.68281;M275;1;0;0;0;2020-09-04 15:51:15.151835;15:51:16.834645;1;0.004;5;5;500;50
0.42574;M290;1;0;0;0;2020-09-04 15:51:32.798920;15:51:33.224660;1;0.004;5;5;500;50
1.649442;M301;1;0;0;0;2020-09-04 15:51:45.587306;15:51:47.236748;1;0.004;5;5;500;50
0.725059;M306;1;0;0;0;2020-09-04 15:51:49.755419;15:51:50.480478;1;0.004;5;5;500;50
0.103782;M322;1;0;0;0;2020-09-04 15:52:07.168419;15:52:07.272201;1;0.004;5;5;500;50
0.994312;M349;1;0;0;0;2020-09-04 15:52:36.469859;15:52:37.464171;1;0.004;5;5;500;50
1.165834;M355;1;0;0;0;2020-09-04 15:52:44.616994;15:52:45.782828;1;0.004;5;5;500;50
1.168466;M457;1;0;0;0;2020-09-04 15:54:15.619066;15:54:16.787532;1;0.004;5;5;500;50
0.181229;M077;16;0;0;4;2020-09-04 15:45:48.995921;15:45:49.177150;1;0.004;5;5;500;50
0.163132;M096;16;0;0;4;2020-09-04 15:45:50.556318;15:45:50.719450;1;0.004;5;5;500;50
0.220581;M145;16;0;0;4;2020-09-04 15:45:54.293283;15:45:54.513864;1;0.004;5;5;500;50
0.142393;M058;8;0;0;3;2020-09-04 15:45:54.697107;15:45:54.839500;1;0.004;5;5;500;50
0.243543;M075;8;0;1;3;2020-09-04 15:45:57.094240;15:45:57.337783;1;0.004;5;5;500;50
0.212797;M234;16;0;1;4;2020-09-04 15:46:00.386483;15:46:00.599280;1;0.004;5;5;500;50
0.319524;M095;8;0;1;3;2020-09-04 15:46:00.638868;15:46:00.958392;1;0.004;5;5;500;50
0.377489;M029;4;0;1;2;2020-09-04 15:46:01.071366;15:46:01.448855;1;0.004;5;5;500;50
0.191244;M001;2;0;0;1;2020-09-04 15:46:08.305882;15:46:08.497126;1;0.004;5;5;500;50
0.296821;M370;16;0;1;4;2020-09-04 15:46:10.272823;15:46:10.569644;1;0.004;5;5;500;50
0.333617;M379;16;0;1;4;2020-09-04 15:46:10.912401;15:46:11.246018;1;0.004;5;5;500;50
0.324397;M013;2;0;1;1;2020-09-04 15:46:12.455133;15:46:12.779530;1;0.004;5;5;500;50
0.216479;M405;16;0;1;4;2020-09-04 15:46:13.486052;15:46:13.702531;1;0.004;5;5;500;50
0.243378;M019;2;0;1;1;2020-09-04 15:46:14.444284;15:46:14.687662;1;0.004;5;5;500;50
0.111484;M447;16;0;0;4;2020-09-04 15:46:16.644391;15:46:16.755875;1;0.004;5;5;500;50
0.210516;M110;4;0;0;2;2020-09-04 15:46:21.116540;15:46:21.327056;1;0.004;5;5;500;50
0.20881;M037;2;0;0;1;2020-09-04 15:46:22.139782;15:46:22.348592;1;0.004;5;5;500;50
0.132775;M309;8;0;0;3;2020-09-04 15:46:28.117254;15:46:28.250029;1;0.004;5;5;500;50
0.090819;M046;2;0;0;1;2020-09-04 15:46:28.160205;15:46:28.251024;1;0.004;5;5;500;50
0.180047;M368;8;0;0;3;2020-09-04 15:46:34.607983;15:46:34.788030;1;0.004;5;5;500;50
0.091979;M399;8;0;0;3;2020-09-04 15:46:39.186734;15:46:39.278713;1;0.004;5;5;500;50
0.169965;M422;8;0;0;3;2020-09-04 15:46:41.398858;15:46:41.568823;1;0.004;5;5;500;50
0.144531;M428;8;0;0;3;2020-09-04 15:46:42.099456;15:46:42.243987;1;0.004;5;5;500;50
0.083629;M075;2;0;0;1;2020-09-04 15:46:44.285819;15:46:44.369448;1;0.004;5;5;500;50
0.193517;M487;8;0;0;3;2020-09-04 15:46:49.176481;15:46:49.369998;1;0.004;5;5;500;50
0.142983;M497;8;0;0;3;2020-09-04 15:46:50.468980;15:46:50.611963;1;0.004;5;5;500;50
0.234315;M245;4;0;0;2;2020-09-04 15:46:56.488898;15:46:56.723213;1;0.004;5;5;500;50
0.080915;M262;4;0;0;2;2020-09-04 15:47:01.742813;15:47:01.823728;1;0.004;5;5;500;50
0.111438;M124;2;0;0;1;2020-09-04 15:47:05.767170;15:47:05.878608;1;0.004;5;5;500;50
0.320117;M126;2;0;0;1;2020-09-04 15:47:06.876833;15:47:07.196950;1;0.004;5;5;500;50
0.182626;M305;4;0;0;2;2020-09-04 15:47:13.704272;15:47:13.886898;1;0.004;5;5;500;50
0.138627;M315;4;0;0;2;2020-09-04 15:47:16.609526;15:47:16.748153;1;0.004;5;5;500;50
0.203235;M344;4;0;0;2;2020-09-04 15:47:23.281560;15:47:23.484795;1;0.004;5;5;500;50
0.355573;M351;4;0;0;2;2020-09-04 15:47:24.394143;15:47:24.749716;1;0.004;5;5;500;50
0.258852;M352;4;0;0;2;2020-09-04 15:47:24.491719;15:47:24.750571;1;0.004;5;5;500;50
0.158427;M063;1;0;0;0;2020-09-04 15:47:33.974045;15:47:34.132472;1;0.004;5;5;500;50
0.269368;M416;4;0;0;2;2020-09-04 15:47:41.441133;15:47:41.710501;1;0.004;5;5;500;50
0.091747;M068;1;0;0;0;2020-09-04 15:47:46.312373;15:47:46.404120;1;0.004;5;5;500;50
0.412875;M102;1;0;0;0;2020-09-04 15:48:21.015682;15:48:21.428557;1;0.004;5;5;500;50
0.254288;M269;2;0;0;1;2020-09-04 15:48:23.999281;15:48:24.253569;1;0.004;5;5;500;50
0.595646;M296;2;0;0;1;2020-09-04 15:48:38.538507;15:48:39.134153;1;0.004;5;5;500;50
0.219152;M005;16;0;0;4;2020-09-04 15:45:43.933610;15:45:44.152762;1;0.004;5;5;500;50
0.084886;M024;8;0;0;3;2020-09-04 15:45:50.789600;15:45:50.874486;1;0.004;5;5;500;50
0.11319;M040;8;0;0;3;2020-09-04 15:45:52.697855;15:45:52.811045;1;0.004;5;5;500;50
0.105801;M134;16;0;0;4;2020-09-04 15:45:53.677718;15:45:53.783519;1;0.004;5;5;500;50
0.16455;M151;16;0;1;4;2020-09-04 15:45:54.511758;15:45:54.676308;1;0.004;5;5;500;50
0.169633;M175;16;0;0;4;2020-09-04 15:45:56.363487;15:45:56.533120;1;0.004;5;5;500;50
0.158003;M211;16;0;0;4;2020-09-04 15:45:59.153296;15:45:59.311299;1;0.004;5;5;500;50
0.214864;M020;4;0;1;2;2020-09-04 15:45:59.471324;15:45:59.686188;1;0.004;5;5;500;50
0.30402;M239;16;0;1;4;2020-09-04 15:46:00.559561;15:46:00.863581;1;0.004;5;5;500;50
0.447067;M106;8;0;1;3;2020-09-04 15:46:01.704681;15:46:02.151748;1;0.004;5;5;500;50
