optimization_factor;Median;Batch Size;Waited for Batch;Max Lambda;Min Lambda;OPT Mode
0,01;0,1842975;10;0;21,37000000000005;8,0;2
0,01;0,1761655;10;0;20,74000000000005;8,0;2
0,01;0,179948;10;0;21,63000000000004;8,0;2
0,01;0,178541;10;0;21,210000000000043;8,0;2
0,01;0,1808785;10;0;21,730000000000043;8,0;2
